id,value
Alphagov_23066786,
Demo Account_54516992,
Digital Marketplace_49258698,
GDS apps_220309926,
GOV_UK - Blogs_40442074,
www_gov_uk_26179049,
Alphagov_23066786.Campaigns platform sta_UA-23066786-2,
Alphagov_23066786.Campaigns platform tes_UA-23066786-1,
Alphagov_23066786.http://getsatisfaction_UA-23066786-3,
Alphagov_23066786.IDA Quantitative Research_UA-23066786-6,
Alphagov_23066786.IER Voter Registration_UA-23066786-5,
Demo Account_54516992.UA - Google Merchandis_UA-54516992-1,
Digital Marketplace_49258698.Admin App - Digital Ma_UA-49258698-7,
Digital Marketplace_49258698.Digital Marketplace GTM_UA-49258698-6,
GDS apps_220309926.No UA properties for account,
GOV_UK - Blogs_40442074.GOV_UK Blog Platform (_UA-40442074-5,
GOV_UK - Blogs_40442074.GOV_UK Blog Platform (_UA-40442074-1,
www_gov_uk_26179049.Accounts_UA-26179049-28,
www_gov_uk_26179049.API use (data sent via_UA-26179049-14,
www_gov_uk_26179049.Content Performance Ma_UA-26179049-12,
www_gov_uk_26179049.content-api_publishing_UA-26179049-13,
www_gov_uk_26179049.Gov_uk - Data Studio D_UA-26179049-24,
www_gov_uk_26179049.GOV_UK apps_UA-26179049-6,
www_gov_uk_26179049.GOV_UK Cookie banner test_UA-26179049-29,
www_gov_uk_26179049.Gov_uk Integration Env_UA-26179049-22,
www_gov_uk_26179049.Gov_uk Staging Environ_UA-26179049-20,
www_gov_uk_26179049.GOV_UK Status Page_UA-26179049-25,
www_gov_uk_26179049.GOV_UK Test property f_UA-26179049-31,
www_gov_uk_26179049.Government Frontend Co_UA-26179049-15,
www_gov_uk_26179049.Performance_service_go_UA-26179049-9,
www_gov_uk_26179049.TEMP >> DI Digital Ide_UA-26179049-30,
www_gov_uk_26179049.Transition Domains_UA-26179049-8,
www_gov_uk_26179049.Whitehall Admin (GA)_UA-26179049-5,
www_gov_uk_26179049.www_gov_uk_UA-26179049-1,
www_gov_uk_26179049.www_gov_uk - direct do_UA-26179049-7,
www_gov_uk_26179049.YouTube link test - in_UA-26179049-10,
Alphagov_23066786.Campaigns platform sta_UA-23066786-2.Campaigns platform tes_45426676,1
Alphagov_23066786.Campaigns platform tes_UA-23066786-1.alpha_gov_uk_45426675,1
Alphagov_23066786.Campaigns platform tes_UA-23066786-1.Ash - testing_73837276,1
Alphagov_23066786.Campaigns platform tes_UA-23066786-1.GDS campaigns testing _53265364,1
Alphagov_23066786.Campaigns platform tes_UA-23066786-1.IDA Test-1_73849518,1
Alphagov_23066786.http://getsatisfaction_UA-23066786-3.getsatisfaction_com/al_46280294,1
Alphagov_23066786.IDA Quantitative Research_UA-23066786-6.All site data (Unfilte_74666176,1
Alphagov_23066786.IDA Quantitative Research_UA-23066786-6.Ash testing (Filtered)_74810260,1
Alphagov_23066786.IDA Quantitative Research_UA-23066786-6.Filtered profile (IP a_74806807,1
Alphagov_23066786.IER Voter Registration_UA-23066786-5.cpc & referrals only_97411853,1
Alphagov_23066786.IER Voter Registration_UA-23066786-5.Electoral Commission R_135119842,1
